           Dear	              -	         O	         O	         O	         O	         O
      Newspaper	              -	         O	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O
              I	              -	      S-A0	         O	         O	         O	         O
          think	          think	       S-V	         O	         O	         O	         O
           that	              -	      B-A1	         O	         O	         O	         O
            the	              -	      I-A1	         O	         O	         O	         O
        effects	              -	      I-A1	         O	         O	         O	         O
            are	              -	      I-A1	         O	         O	         O	         O
           okay	              -	      I-A1	         O	         O	         O	         O
             as	              -	      I-A1	         O	         O	         O	         O
           long	              -	      I-A1	         O	         O	         O	         O
             as	              -	      I-A1	         O	         O	         O	         O
             we	              -	      I-A1	      S-A0	      S-A0	      S-A0	      S-A0
            get	            get	      I-A1	       B-V	         O	         O	         O
            off	              -	      I-A1	       E-V	         O	         O	         O
            the	              -	      I-A1	      B-A1	         O	         O	         O
      computers	              -	      I-A1	      E-A1	         O	         O	         O
            and	              -	      I-A1	         O	         O	         O	         O
             go	             go	      I-A1	         O	       S-V	         O	         O
        outside	              -	      E-A1	         O	  S-AM-DIR	         O	         O
            and	              -	         O	         O	         O	         O	         O
            see	            see	         O	         O	         O	       S-V	         O
           some	              -	         O	         O	         O	      B-A1	         O
        friends	              -	         O	         O	         O	      E-A1	         O
            and	              -	         O	         O	         O	         O	         O
            get	            get	         O	         O	         O	         O	       S-V
           some	              -	         O	         O	         O	         O	      B-A1
       exercise	              -	         O	         O	         O	         O	      E-A1
              .	              -	         O	         O	         O	         O	         O

